score_bin,undirected_pair_count,field
0.8,8,Reason
0.85,7699,Reason
0.9,20243,Reason
0.95,5162,Reason
0.8,10,AttackerAction
0.85,6812,AttackerAction
0.9,25490,AttackerAction
0.95,7527,AttackerAction
0.8,16,Consequence
0.85,2479,Consequence
0.9,20249,Consequence
0.95,17676,Consequence
0.8,56,Trigger
0.85,12405,Trigger
0.9,20819,Trigger
0.95,2868,Trigger
0.8,49,SystemState
0.85,4761,SystemState
0.9,4789,SystemState
0.95,989,SystemState
0.8,51,Source
0.85,12009,Source
0.9,12791,Source
0.95,1133,Source
0.8,40,VulnerabilityType
0.85,2212,VulnerabilityType
0.9,6266,VulnerabilityType
0.95,2113,VulnerabilityType
